Refract	Owner	Reading	Trial	Unit	Solution	Expected
Yellow	John	10.06	1	Brix	10% Sugar	10
Yellow	Brian	10.08	1	Brix	10% Sugar	10
Yellow	Shay	10.08	1	Brix	10% Sugar	10
DiFluid	Shay	10.17	1	Brix	10% Sugar	10
DiFluid	John	10	1	Brix	10% Sugar	10
DiFluid	Brian	9.97	1	Brix	10% Sugar	10
Atago	Shay	9.97	1	Brix	10% Sugar	10
Yellow	John	10.08	2	Brix	10% Sugar	10
Yellow	Brian	10.12	2	Brix	10% Sugar	10
Yellow	Shay	10.1	2	Brix	10% Sugar	10
DiFluid	Shay	10.22	2	Brix	10% Sugar	10
DiFluid	John	10.12	2	Brix	10% Sugar	10
DiFluid	Brian	9.97	2	Brix	10% Sugar	10
Atago	Shay	10	2	Brix	10% Sugar	10
Yellow	John	10.15	3	Brix	10% Sugar	10
Yellow	Brian	10.18	3	Brix	10% Sugar	10
Yellow	Shay	10.18	3	Brix	10% Sugar	10
DiFluid	Shay	10.33	3	Brix	10% Sugar	10
DiFluid	John	10.15	3	Brix	10% Sugar	10
DiFluid	Brian	10.04	3	Brix	10% Sugar	10
Atago	Shay	10.09	3	Brix	10% Sugar	10
Yellow	John	2.06	1	Brix	2% Sugar	2
Yellow	Brian	2.08	1	Brix	2% Sugar	2
Yellow	Shay	2.02	1	Brix	2% Sugar	2
DiFluid	Shay	2.04	1	Brix	2% Sugar	2
DiFluid	John	2.07	1	Brix	2% Sugar	2
DiFluid	Brian	2.02	1	Brix	2% Sugar	2
Atago	Shay	2.03	1	Brix	2% Sugar	2
Yellow	John	2.06	2	Brix	2% Sugar	2
Yellow	Brian	2.08	2	Brix	2% Sugar	2
Yellow	Shay	2.02	2	Brix	2% Sugar	2
DiFluid	Shay	2.05	2	Brix	2% Sugar	2
DiFluid	John	2.07	2	Brix	2% Sugar	2
DiFluid	Brian	2	2	Brix	2% Sugar	2
Atago	Shay	2.02	2	Brix	2% Sugar	2
Yellow	John	2.06	3	Brix	2% Sugar	2
Yellow	Brian	2.09	3	Brix	2% Sugar	2
Yellow	Shay	2.04	3	Brix	2% Sugar	2
DiFluid	Shay	2.06	3	Brix	2% Sugar	2
DiFluid	John	2.08	3	Brix	2% Sugar	2
DiFluid	Brian	2	3	Brix	2% Sugar	2
Atago	Shay	2.04	3	Brix	2% Sugar	2
Yellow	John	9.76	1	TDS	9.95% Folgers	9.95
Yellow	Brian	9.6	1	TDS	9.95% Folgers	9.95
Yellow	Shay	9.63	1	TDS	9.95% Folgers	9.95
DiFluid	Shay	9.72	1	TDS	9.95% Folgers	9.95
DiFluid	John	9.67	1	TDS	9.95% Folgers	9.95
DiFluid	Brian	9.66	1	TDS	9.95% Folgers	9.95
Atago	Shay	10.3	1	TDS	9.95% Folgers	9.95
Yellow	John	9.9	2	TDS	9.95% Folgers	9.95
Yellow	Brian	9.65	2	TDS	9.95% Folgers	9.95
Yellow	Shay	9.82	2	TDS	9.95% Folgers	9.95
DiFluid	Shay	9.74	2	TDS	9.95% Folgers	9.95
DiFluid	John	9.69	2	TDS	9.95% Folgers	9.95
DiFluid	Brian	9.59	2	TDS	9.95% Folgers	9.95
Atago	Shay	10.46	2	TDS	9.95% Folgers	9.95
Yellow	John	9.93	3	TDS	9.95% Folgers	9.95
Yellow	Brian	9.8	3	TDS	9.95% Folgers	9.95
Yellow	Shay	9.78	3	TDS	9.95% Folgers	9.95
DiFluid	Shay	9.88	3	TDS	9.95% Folgers	9.95
DiFluid	John	9.82	3	TDS	9.95% Folgers	9.95
