Refract,Reading,Trial,Solution,Dilution factor
yellow,9.81,1,espresso,1
DiFluid Coffee,9.66,1,espresso,1
DiFluid R2,10.23,1,espresso,1
atago,9.53,1,espresso,1
yellow,9.85,1,espresso,1
DiFluid Coffee,9.76,1,espresso,1
DiFluid R2,10.2,1,espresso,1
atago,9.62,1,espresso,1
yellow,9.85,1,espresso,1
DiFluid Coffee,9.76,1,espresso,1
DiFluid R2,10.22,1,espresso,1
atago,9.64,1,espresso,1
yellow,9.88,1,espresso,1
DiFluid Coffee,9.76,1,espresso,1
DiFluid R2,10.39,1,espresso,1
atago,9.67,1,espresso,1
yellow,9.74,2,espresso,1
DiFluid Coffee,9.86,2,espresso,1
DiFluid R2,10.11,2,espresso,1
atago,9.63,2,espresso,1
yellow,9.78,2,espresso,1
DiFluid Coffee,9.86,2,espresso,1
DiFluid R2,10.11,2,espresso,1
atago,9.71,2,espresso,1
yellow,9.79,2,espresso,1
DiFluid Coffee,9.86,2,espresso,1
DiFluid R2,10.1,2,espresso,1
atago,9.72,2,espresso,1
yellow,9.76,3,espresso,1
DiFluid Coffee,10.04,3,espresso,1
DiFluid R2,10.18,3,espresso,1
atago,9.8,3,espresso,1
yellow,9.78,3,espresso,1
DiFluid Coffee,10.04,3,espresso,1
DiFluid R2,10.2,3,espresso,1
atago,9.82,3,espresso,1
yellow,9.81,3,espresso,1
DiFluid Coffee,10.04,3,espresso,1
DiFluid R2,10.22,3,espresso,1
atago,9.82,3,espresso,1
yellow,1.41,1,espresso,6.67
DiFluid Coffee,1.48,1,espresso,6.67
DiFluid R2,1.5,1,espresso,6.67
atago,1.42,1,espresso,6.67
yellow,1.43,1,espresso,6.67
DiFluid Coffee,1.53,1,espresso,6.67
DiFluid R2,1.51,1,espresso,6.67
atago,1.43,1,espresso,6.67
yellow,1.43,1,espresso,6.67
DiFluid Coffee,1.53,1,espresso,6.67
DiFluid R2,1.53,1,espresso,6.67
atago,1.44,1,espresso,6.67
yellow,1.53,2,espresso,6.67
DiFluid Coffee,1.53,2,espresso,6.67
DiFluid R2,1.51,2,espresso,6.67
atago,1.4,2,espresso,6.67
yellow,1.53,2,espresso,6.67
DiFluid Coffee,1.48,2,espresso,6.67
DiFluid R2,1.5,2,espresso,6.67
atago,1.41,2,espresso,6.67
yellow,1.55,2,espresso,6.67
DiFluid Coffee,1.52,2,espresso,6.67
DiFluid R2,1.49,2,espresso,6.67
atago,1.42,2,espresso,6.67
yellow,1.35,3,espresso,6.67
